_id,case_no,ap_case_defn_key,status_dttm,status,code,value,description,violation_stno,violation_sthigh,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_addr2,contact_city,contact_state,contact_zip,sam_id,latitude,longitude,location
15976,V83331,1013,2010-10-06 09:07:40,Closed,5103.1,N/A,Maintenance,308,,Paris,ST,East Boston,MA,02128,01,19C BUCK HILL RD,,JOHNSTON,RI,02129,106559,42.37707000030896,-71.03240000131105,"(42.37707000030896, -71.03240000131105)"
15977,V83330,1013,2010-10-06 09:02:00,Closed,110.1,N/A,Inspections,10,,Bloomington,ST,Dorchester,MA,02122,16,10 BLOOMINGTON ST,,DORCHESTER,MA,02122,16053,42.28987000013422,-71.04667000103613,"(42.28987000013422, -71.04667000103613)"
15978,V83329,1013,2010-10-06 08:56:43,Closed,5103.1,N/A,Maintenance,24,,Holmfield,AV,Mattapan,MA,02136,18,24 HOLMFIELD AV,,MATTAPAN,MA,02114,74804,42.263029999775505,-71.09993000156845,"(42.263029999775505, -71.09993000156845)"
15979,V83206,1013,2010-10-05 15:40:49,Closed,110.1,N/A,Inspections,24,28,Denby,RD,Allston,MA,02134,22,24 Denby Rd,,Allston,MA,02134,164222,42.355314945819835,-71.13518140060732,"(42.355314945819835, -71.13518140060732)"
15980,V83205,1013,2010-10-05 15:29:57,Closed,Chapter 103.1,N/A,Unsafe Maintenance,24,28,Denby,RD,Allston,MA,02134,22,24 Denby Rd,,Allston,MA,02134,164222,42.355314945819835,-71.13518140060732,"(42.355314945819835, -71.13518140060732)"
15981,V83204,1013,2010-10-05 15:16:41,Closed,110.1,N/A,Inspections,131,134,Tremont,ST,Boston,MA,02111,03,"C/o Ming Slomiak, 645 BEACON ST",,BOSTON,MA,02215,136815,42.35601119702564,-71.06228115423508,"(42.35601119702564, -71.06228115423508)"
15982,V83203,1013,2010-10-05 14:56:26,Closed,5110.1,N/A,Failure to secure permit,56,,Saint Stephen,ST,Boston,MA,02115,04,16505 132nd Pl Se,,Rentow,WA,98058,121634,42.341987000394006,-71.08707700138979,"(42.341987000394006, -71.08707700138979)"
15983,V83202,1013,2010-10-05 14:42:17,Closed,5103.1,N/A,Maintenance,676,,Hyde Park,AV,Roslindale,MA,02131,18,676 HYDE PARK AVE,,ROSLINDALE ,MA,02131,77504,42.27725999997439,-71.11916000076008,"(42.27725999997439, -71.11916000076008)"
15984,V83200,1013,2010-10-05 14:15:08,Closed,5115.5,N/A,Right of Entry,144,,Hollingsworth,ST,Mattapan,MA,02126,18,144 HOLLINGSWORTH ST,,MATTAPAN ,MA,02126,74674,42.26586999969478,-71.10125000061699,"(42.26586999969478, -71.10125000061699)"
15985,V83162,1013,2010-10-05 12:33:39,Closed,5110.1,N/A,Failure to secure permit,80,,Mount Hope,ST,Roslindale,MA,02131,18,80 MOUNT HOPE ST,,ROSLINDALE,MA,02131,98296,42.28313499973161,-71.11576100087026,"(42.28313499973161, -71.11576100087026)"
15986,V83161,1013,2010-10-05 12:09:09,Closed,5117.1,N/A,Workmanship,80,,Mount Hope,ST,Roslindale,MA,02131,18,80 MOUNT HOPE ST,,ROSLINDALE,MA,02131,98296,42.28313499973161,-71.11576100087026,"(42.28313499973161, -71.11576100087026)"
15987,V83160,1013,2010-10-05 12:02:31,Closed,5110.1,N/A,Failure to secure permit,115,,Pierce,ST,Hyde Park,MA,02136,18,115 PIERCE ST,,HYDE PARK,MA,02136,110264,42.25840000017254,-71.11561000175739,"(42.25840000017254, -71.11561000175739)"
15988,V83159,1013,2010-10-05 11:55:52,Closed,5110.1,N/A,Failure to secure permit,1,,Emmet,PL,East Boston,MA,02128,01,24 Columbia St,,Malden,MA,02148,165000,42.36828402911496,-71.03721490452463,"(42.36828402911496, -71.03721490452463)"
15989,V83158,1013,2010-10-05 11:44:02,Closed,5110.1,N/A,Failure to secure permit,44,,Princeton,ST,East Boston,MA,02128,01,44 Princeton St,,East Boston,MA,02128,113345,42.377100000058306,-71.03764000209777,"(42.377100000058306, -71.03764000209777)"
15990,V83157,1013,2010-10-05 11:15:44,Closed,110.1,N/A,Inspections,58,,Fowler,ST,Dorchester,MA,02121,14,186 Washington St,,Dorchester,MA,02121,60361,42.30092999963737,-71.08159000130803,"(42.30092999963737, -71.08159000130803)"
15991,V83156,1013,2010-10-05 11:07:53,Closed,5121,N/A,Unsafe Structures,1,,Emmet,PL,East Boston,MA,02128,01,24 Columbia St,,Malden,MA,02148,165000,42.36828402911496,-71.03721490452463,"(42.36828402911496, -71.03721490452463)"
15992,V83155,1013,2010-10-05 10:57:52,Closed,5121.1,N/A,Unsafe & Dangerous,41,43,Saratoga,ST,East Boston,MA,02128,01,43 SARATOGA ST,,EAST BOSTON,MA,02128,122640,42.37606909456573,-71.03745949878034,"(42.37606909456573, -71.03745949878034)"
15993,V83154,1013,2010-10-05 10:52:00,Closed,121.1,N/A,Unsafe and Dangerous,14,16,PORTER,ST,East Boston/,MA,02128,01,301 Broadway St,,Chelsea,MA,02150,0,,,
15994,V83153,1013,2010-10-05 10:44:27,Closed,121.1,N/A,Unsafe and Dangerous,58,,Englewood,AV,Brighton,MA,02135,21,58 Englewood Ave,,Brighton,MA,02135,54092,42.33776000086995,-71.1480500007626,"(42.33776000086995, -71.1480500007626)"
15995,V83051,1013,2010-10-04 14:55:37,Closed,110.11,N/A,Deteriorating Agents,21,23,Dr. Mary Moore Beatty,CI,Mattapan,MA,02126,18,21 - 23 Mary Moore Beatyy Circle,,Mattapan,MA,02126,164532,42.27341376309232,-71.07988005974465,"(42.27341376309232, -71.07988005974465)"
15996,V82981,1013,2010-10-01 09:34:53,Closed,110.0,N/A,Application for Permit,5,9,Hudson,ST,Boston,MA,02111,03,"22 Clark St, Unit B",,Quincy,MA,02171,75863,42.350966000735006,-71.06012800088764,"(42.350966000735006, -71.06012800088764)"
15997,V82980,1013,2010-10-01 08:58:23,Closed,110.1,N/A,Inspections,1,,Hanson,ST,Roxbury,MA,02118,03,16 Bond St,,Boston,MA,02118,69246,42.3435399999266,-71.06969000120843,"(42.3435399999266, -71.06969000120843)"
15998,V82871,1013,2010-09-30 15:45:36,Closed,121.2,N/A,Unsafe and Dangerous,153,,Paris,ST,East Boston,MA,02128,01,135 Wispering Pines Dr,,Palm Coast,FL,32164,106479,42.37322800054856,-71.03644400126595,"(42.37322800054856, -71.03644400126595)"
15999,V82870,1013,2010-09-30 15:37:40,Closed,110.1,N/A,Inspections,170,,Border,ST,East Boston,MA,02128,01,1222 Bennington St,,East Boston,MA,02128,17001,42.37438800033732,-71.04084000094277,"(42.37438800033732, -71.04084000094277)"
16000,V82869,1013,2010-09-30 15:33:59,Closed,Chapter 103.1,N/A,Unsafe Maintenance,170,,Border,ST,East Boston,MA,02128,01,1222 Bennington St,,East Boston,MA,02128,17001,42.37438800033732,-71.04084000094277,"(42.37438800033732, -71.04084000094277)"
16001,V82868,1013,2010-09-30 15:26:42,Closed,121,N/A,Unsafe Structure,248,270,Meridian,ST,East Boston,MA,02128,01,"Att Dennis Lombado, 6 Billings St",,Randolph,MA,02368,94417,42.37598999977201,-71.03929000153114,"(42.37598999977201, -71.03929000153114)"
16002,V82867,1013,2010-09-30 15:19:04,Closed,121.2,N/A,Unsafe and Dangerous,170,172,Maverick,ST,East Boston,MA,02128,01,72 Marginal St,,East Boston,MA,02128,92965,42.369529999532325,-71.0372100020484,"(42.369529999532325, -71.0372100020484)"
16003,V82866,1013,2010-09-30 15:02:59,Closed,118.1,N/A,Unlawful Acts,1857,,Commonwealth,AV,Brighton,MA,02135,21,151 Chestnut Hill Ave,,Brighton,MA,02135,38777,42.339179999897254,-71.15289000138597,"(42.339179999897254, -71.15289000138597)"
16004,V82865,1013,2010-09-30 14:53:55,Closed,1001.3.3,N/A,,53,53A,Chelsea,ST,East Boston,MA,02128,01,65 Chelsea St,,East Boston,MA,02128,163227,42.37108809871397,-71.0370376811935,"(42.37108809871397, -71.0370376811935)"
16005,V82864,1013,2010-09-30 14:46:47,Closed,121.1,N/A,Unsafe and Dangerous,53,53A,Chelsea,ST,East Boston,MA,02128,01,65 Chelsea St,,East Boston,MA,02128,163227,42.37108809871397,-71.0370376811935,"(42.37108809871397, -71.0370376811935)"
16006,V82863,1013,2010-09-30 14:33:16,Closed,121.2,N/A,Unsafe and Dangerous,26,,Waverly,ST,Brighton,MA,02135,22,131 Park Dr Ste #1,,Boston,MA,02215,146458,42.36097000007257,-71.14410000149586,"(42.36097000007257, -71.14410000149586)"
16007,V82862,1013,2010-09-30 14:15:56,Closed,110.1,N/A,Inspections,308,,Shawmut,AV,Roxbury,MA,02118,03,308 Shawmut Ave Unit 3,,Boston,MA,02118,126171,42.342209999883245,-71.07017000112909,"(42.342209999883245, -71.07017000112909)"
16008,V82861,1013,2010-09-30 14:05:00,Closed,110.1,N/A,Inspections,18,,Milford,ST,Roxbury,MA,02118,03,33 KIRKWOOD RD,,BRIGHTON,MA,02135,95334,42.34400000019739,-71.06987000184941,"(42.34400000019739, -71.06987000184941)"
16009,V82851,1013,2010-09-30 12:46:04,Closed,110.1,N/A,Inspections,4,,Milford,ST,Roxbury,MA,02118,03,16 Bond St,,Boston,MA,02118,95400,42.34376999926159,-71.06941000133098,"(42.34376999926159, -71.06941000133098)"
16010,V82850,1013,2010-09-30 12:34:21,Closed,110.1,N/A,Inspections,10,,Milford,ST,Roxbury,MA,02118,03,"David Tausevich, trustees, 10 Milford St",,Boston,MA,02118,95319,42.34386999997624,-71.06961000167256,"(42.34386999997624, -71.06961000167256)"
16011,V82849,1013,2010-09-30 12:14:02,Closed,240.24(A),N/A,Elevated Electrical Room,1320,1330,Boylston,ST,Boston,MA,02215,05,333 Newbury St,,Boston,MA,02115,18091,42.34398120866785,-71.09882327243129,"(42.34398120866785, -71.09882327243129)"
16012,V82848,1013,2010-09-30 11:24:20,Closed,110.11,N/A,Deteriorating Agents,11,,Bell,CT,South Boston,MA,02127,06,39 Revere St Apt 5,,Boston,Ma,02114,13749,42.335660000319315,-71.05525000151407,"(42.335660000319315, -71.05525000151407)"
16013,V82847,1013,2010-09-30 11:10:42,Closed,110.1,N/A,Inspections,11,29,Roxbury,ST,Roxbury,MA,02119,09,"Att: James G Marchion Mgr, 530 Warren St",,Dorchester,MA,02121,119147,42.32973000026879,-71.0849900003941,"(42.32973000026879, -71.0849900003941)"
16014,V82846,1013,2010-09-30 10:48:18,Closed,110.1,N/A,Inspections,157,,Kilsyth,RD,Brighton,MA,02135,21,157 Kilsyth Rd,,Brighton,MA,02135,81625,42.33863999954233,-71.14651000091297,"(42.33863999954233, -71.14651000091297)"
16015,V82845,1013,2010-09-30 10:10:41,Closed,110.12,N/A,Mechanical Execution of Work,345,359,Washington,ST,Brighton,MA,02135,22,"353 Washington St., Suite 1",,Brighton,MA,02135,143522,42.34923882823119,-71.15287093535787,"(42.34923882823119, -71.15287093535787)"
16016,V82844,1013,2010-09-30 09:51:44,Closed,121,N/A,Unsafe Structure,94R,,George,ST,Roxbury,MA,02119,08,94 George St,,Roxbury,MA,02119,63473,42.3258099996306,-71.07208000094124,"(42.3258099996306, -71.07208000094124)"
16017,V82843,1013,2010-09-30 09:20:47,Closed,121.1,N/A,Unsafe and Dangerous,59,,Chelsea,ST,East Boston,MA,02128,01,65 Chelsea St,,East Boston,MA,02128,30587,42.37133999955687,-71.03681000077073,"(42.37133999955687, -71.03681000077073)"
16018,V82842,1013,2010-09-30 09:09:25,Closed,110.1,N/A,Inspections,35,,Higgins,ST,Allston,MA,02134,21,35 Higgins St,,Allston,MA,02134,73270,42.351951952738254,-71.136425726561,"(42.351951952738254, -71.136425726561)"
16019,V82827,1013,2010-09-30 08:43:22,Closed,Chapter 103.1,N/A,Unsafe Maintenance,102,110,Savin Hill,AV,Dorchester,MA,02125,13,211 A Savin Hill Ave,,Dorchester,MA,02125,123159,42.31181431716126,-71.05381505292239,"(42.31181431716126, -71.05381505292239)"
16020,V82826,1013,2010-09-30 08:31:40,Closed,110.1,N/A,Inspections,28,30A,Warren,ST,Roxbury,MA,02119,08,20 Pigeon La,,Waltham,MA,02452,170946,42.329799988950654,-71.08307395355814,"(42.329799988950654, -71.08307395355814)"
16021,V82654,1013,2010-09-29 15:48:24,Closed,4-3,N/A,Building or Use of Premise req,246,248,Parker Hill,AV,Mission Hill,MA,02120,10,246 PARKER HILL AV,,ROXBURY,MA,02120,107981,42.32868700071712,-71.10119300098226,"(42.32868700071712, -71.10119300098226)"
16022,V82653,1013,2010-09-29 15:29:51,Closed,110.1,N/A,Inspections,195,,Newton,ST,Boston,MA,02116,04,"Karan A Kelleher, 195 W Newton St",,Boston,MA,02116,102445,42.343670000288704,-71.07895000162029,"(42.343670000288704, -71.07895000162029)"
16023,V82652,1013,2010-09-29 15:16:04,Closed,Chapter 103.1,N/A,Unsafe Maintenance,2173,2189,Washington,ST,Roxbury,MA,02119,09,51 Sleeper St #500,,Boston,MA,02210,144473,42.33137216565589,-71.08275484748627,"(42.33137216565589, -71.08275484748627)"
16024,V82651,1013,2010-09-29 14:52:01,Closed,5103.1,N/A,Maintenance,27,,Page,ST,Dorchester,MA,02121,14,29 PAGE ST,,DORCHESTER,MA,02128,106354,42.29939999985572,-71.08331000138988,"(42.29939999985572, -71.08331000138988)"
16025,V82650,1013,2010-09-29 14:37:26,Closed,110.1,N/A,Inspections,19,,Topliff,ST,Dorchester,MA,02122,15,19 Topliff St,,Dorchester,MA,02125,136227,42.30405000007494,-71.06873000105988,"(42.30405000007494, -71.06873000105988)"
16026,V82648,1013,2010-09-29 12:53:53,Closed,110.1,N/A,Inspections,360,,Cummins,HW,Roslindale,MA,02131,18,126 COMMONWEALTH AV,,DEDHAM,MA,02026,44873,42.27832999983503,-71.11545000094779,"(42.27832999983503, -71.11545000094779)"
16027,V82647,1013,2010-09-29 12:22:54,Closed,110.1,N/A,Inspections,53,,Chelsea,ST,East Boston,MA,02128,01,65 CHELSEA ST,,EAST BOSTON,MA,02128,30582,42.371100000337755,-71.03706000074538,"(42.371100000337755, -71.03706000074538)"
16028,V82646,1013,2010-09-29 12:18:28,Closed,121.1,N/A,Unsafe and Dangerous,114,,P,ST,South Boston,MA,02127,06,"Dan Warn, 114 P St",,South Boston,MA,02127,106227,42.334420000398495,-71.02696000107402,"(42.334420000398495, -71.02696000107402)"
16029,V82645,1013,2010-09-29 11:43:26,Closed,121.1,N/A,Unsafe and Dangerous,47,,Chelsea,ST,East Boston,MA,02128,01,93 Summit Rd,,Greenwich,CT,06878,30575,42.37098999979306,-71.0372100021235,"(42.37098999979306, -71.0372100021235)"
16030,V82644,1013,2010-09-29 11:34:03,Closed,121.1,N/A,Unsafe and Dangerous,47,,Chelsea,ST,East Boston,MA,02128,01,93 Summit Rd,,Greenwich,CT,06878,30575,42.37098999979306,-71.0372100021235,"(42.37098999979306, -71.0372100021235)"
16031,V82643,1013,2010-09-29 10:52:10,Closed,121.1,N/A,Unsafe and Dangerous,59,,Chelsea,ST,East Boston,MA,02128,01,151 County Road,a/k/a Maryanne Vautrinot,Plympton,MA,02367,30587,42.37133999955687,-71.03681000077073,"(42.37133999955687, -71.03681000077073)"
16032,V82642,1013,2010-09-29 10:38:16,Closed,110.1,N/A,Inspections,58,,Greendale,RD,Mattapan,MA,02126,14,88 Ledgeways St,,Wellesley,MA,02481,66526,42.285950000282135,-71.09551000102475,"(42.285950000282135, -71.09551000102475)"
16033,V82641,1013,2010-09-29 10:30:26,Closed,5121.1,N/A,Unsafe & Dangerous,3,5,Burgoyne,ST,Dorchester,MA,02122,16,5 BURGOYNE ST,,DORCHESTER,MA,02124,23830,42.28590000019513,-71.0560200011769,"(42.28590000019513, -71.0560200011769)"
16034,V82640,1013,2010-09-29 10:25:21,Closed,Chapter 103.1,N/A,Unsafe Maintenance,58,,Greendale,RD,Mattapan,MA,02126,14,88 Ledwewiayo,,Wellesley,MA,02481,66526,42.285950000282135,-71.09551000102475,"(42.285950000282135, -71.09551000102475)"
16035,V82639,1013,2010-09-29 10:08:53,Closed,1023.6,N/A,Access to a Publicway,820,,Sixth,ST,South Boston,MA,02127,06,38 Serenade Pk,,N. Easton,MA,02356,127896,42.333398000096324,-71.0274900013028,"(42.333398000096324, -71.0274900013028)"
16036,V82638,1013,2010-09-29 09:52:10,Closed,Chapter 103.1,N/A,Unsafe Maintenance,4443,,Washington,ST,Roslindale,MA,02131,20,17 Brook Rd,,Milton,MA,02186,145241,42.28061999967387,-71.13480000089875,"(42.28061999967387, -71.13480000089875)"
16037,V82637,1013,2010-09-29 09:37:58,Closed,5110.1,N/A,Failure to secure permit,817,,South,ST,Roslindale,MA,02131,20,75 N Broadway St,,Irvington,MA,10533,128956,42.28822000033027,-71.131010001644,"(42.28822000033027, -71.131010001644)"
16038,V82636,1013,2010-09-29 09:05:44,Closed,110.1,N/A,Inspections,15,,Wellington,ST,Roxbury,MA,02118,04,15 Wellington St,,Boston,MA,02115,147409,42.341749999847245,-71.08175000161756,"(42.341749999847245, -71.08175000161756)"
16039,V82635,1013,2010-09-29 08:37:10,Closed,Chapter 103.1,N/A,Unsafe Maintenance,1691,,Commonwealth,AV,Brighton,MA,02135,21,"C/o The Albert Corp., 10 Harvard Sq. #2",,Brookline,MA,02445,38426,42.341950000371966,-71.14661000062999,"(42.341950000371966, -71.14661000062999)"
16040,V82463,1013,2010-09-28 13:22:27,Closed,Chapter 103.1,N/A,Unsafe Maintenance,367,367A,Dorchester,ST,South Boston,MA,02127,07,367 DORCHESTER ST,,SOUTH BOSTON,MA,02127,49033,42.3304800002294,-71.05561000067235,"(42.3304800002294, -71.05561000067235)"
16041,V82462,1013,2010-09-28 12:58:55,Closed,1001.3.3,N/A,,53,53A,Chelsea,ST,East Boston,MA,02128,01,65 Chelsea St,,East Boston,MA,02128,163227,42.37108809871397,-71.0370376811935,"(42.37108809871397, -71.0370376811935)"
16042,V82456,1013,2010-09-28 11:29:34,Closed,5110.1,N/A,Failure to secure permit,64,,Bayswater,ST,East Boston,MA,02128,01,64 Bayswater St,,East Boston,MA,02128,161856,42.38447745798816,-71.00430970786952,"(42.38447745798816, -71.00430970786952)"
16043,V82455,1013,2010-09-28 11:12:48,Closed,110.1,N/A,Inspections,39,,Chelsea,ST,East Boston,MA,02128,01,71 Commercial St #121,,Boston,MA,02109,30538,42.37082000019037,-71.03742000168775,"(42.37082000019037, -71.03742000168775)"
16044,V60558,1013,2010-09-28 11:02:11,Closed,Chapter 103.1,N/A,Unsafe Maintenance,1006,1022,Massachusetts,AV,Roxbury,MA,02118,08,"City Hall - Property Management, Rm 811",,Boston,MA,02201,167483,42.327950038070824,-71.06721126818432,"(42.327950038070824, -71.06721126818432)"
16045,V60558,1013,2010-09-28 11:02:11,Closed,106.5,N/A,Certificate of Inspection,1006,1022,Massachusetts,AV,Roxbury,MA,02118,08,"City Hall - Property Management, Rm 811",,Boston,MA,02201,167483,42.327950038070824,-71.06721126818432,"(42.327950038070824, -71.06721126818432)"
16046,V82454,1013,2010-09-28 10:49:01,Closed,3307.1,N/A,Protection of Adj. Property,70,,Webster,ST,East Boston,MA,02128,01,3 Baldwin Green Common #301,,WOBURN,MA,01801,146923,42.367239999988946,-71.03786700133462,"(42.367239999988946, -71.03786700133462)"
16047,V82453,1013,2010-09-28 10:28:31,Closed,110.1,N/A,Inspections,12,,Milford,ST,Roxbury,MA,02118,03,12 Milford St,,Boston,MA,02118,95326,42.34390000045256,-71.06968000074886,"(42.34390000045256, -71.06968000074886)"
16048,V82452,1013,2010-09-28 10:17:54,Closed,5110.1,N/A,Failure to secure permit,60,,Bayswater,ST,East Boston,MA,02128,01,60 BAYSWATER,,EAST BOSTON,MA,02128,9263,42.384539999806954,-71.00449000192756,"(42.384539999806954, -71.00449000192756)"
16049,V82451,1013,2010-09-28 10:04:06,Closed,121.1,N/A,Unsafe and Dangerous,53,53A,Chelsea,ST,East Boston,MA,02128,01,65 Chelsea St,,East Boston,MA,02128,163227,42.37108809871397,-71.0370376811935,"(42.37108809871397, -71.0370376811935)"
16050,V82145,1013,2010-09-23 10:57:12,Closed,113.3,N/A,Failed to comply w PRMT terms,23,,Ruskin,ST,West Roxbury,MA,02132,20,96 Main St,,Leominster,MA,01453-5539,119531,42.2911399995207,-71.15964000060764,"(42.2911399995207, -71.15964000060764)"
16051,V82016,1013,2010-09-22 09:06:36,Closed,115.6,N/A,Right of Entry,82,84,Minden,ST,Jamaica Plain,MA,02130,10,"James Stamatos, 660 Centre St",,Jamaica Plain,MA,02130,95999,42.32492899980203,-71.10460100097275,"(42.32492899980203, -71.10460100097275)"
16052,V81876,1013,2010-09-21 15:35:32,Closed,121,N/A,Unsafe Structure,256,,Marginal,ST,East Boston,MA,02128,01,256 Marginal St,,East Boston,MA,02128,156128,42.36422767987073,-71.0325498199908,"(42.36422767987073, -71.0325498199908)"
16053,V81875,1013,2010-09-21 15:29:13,Closed,121,N/A,Unsafe Structure,86,,Bremen,ST,East Boston,MA,02128,01,PO Box 1046,,Brookline,MA,02446,19892,42.37067999944084,-71.03705000131423,"(42.37067999944084, -71.03705000131423)"
16054,V81874,1013,2010-09-21 15:19:08,Closed,121,N/A,Unsafe Structure,144,146,Webster,ST,East Boston,MA,02128,01,40 Everett St,,East Boston,MA,02128-2104,146773,42.3662600001827,-71.03558000072834,"(42.3662600001827, -71.03558000072834)"
16055,V81778,1013,2010-09-20 09:12:42,Closed,110.0,N/A,Application for Permit,93,,Hudson,ST,Boston,MA,02111,03,91 Hudson St,,Boston,MA,02111,75886,42.34850000000813,-71.06113000050438,"(42.34850000000813, -71.06113000050438)"
16056,V81777,1013,2010-09-20 09:01:07,Closed,Chapter 103.1,N/A,Unsafe Maintenance,367,367A,Dorchester,ST,South Boston,MA,02127,07,367 DORCHESTER ST,,SOUTH BOSTON,MA,02127,49033,42.3304800002294,-71.05561000067235,"(42.3304800002294, -71.05561000067235)"
16057,V81775,1013,2010-09-20 08:53:47,Closed,Chapter 103.1,N/A,Unsafe Maintenance,43,,Holworthy,ST,Dorchester,MA,02121,12,52 CHAUNCY ST,,BOSTON,MA,02111,74844,42.316530000446356,-71.08925000104797,"(42.316530000446356, -71.08925000104797)"
16058,V81774,1013,2010-09-20 08:36:06,Closed,Chapter 103.1,N/A,Unsafe Maintenance,94,,Seaver,ST,Dorchester,MA,02121,12,66 E Main St,,Moosup,Ct,06354,169568,42.31065619216733,-71.09255787983402,"(42.31065619216733, -71.09255787983402)"
16059,V81686,1013,2010-09-17 15:50:15,Closed,115.6,N/A,Right of Entry,101,,Gallivan,BL,Mattapan,MA,02126,17,101 Gallivan Blvd,,Dorchester,MA,02124,62201,42.2778699996386,-71.07382000166662,"(42.2778699996386, -71.07382000166662)"
16060,V81685,1013,2010-09-17 15:37:51,Closed,110.1,N/A,Inspections,28,,Chelsea,ST,East Boston,MA,02128,01,194 1/2 Maverick St,,East Boston,MA,02128,30458,42.37079399941327,-71.03800300161029,"(42.37079399941327, -71.03800300161029)"
16061,V81684,1013,2010-09-17 15:22:10,Closed,5110.1,N/A,Failure to secure permit,16,,Trident,ST,East Boston,MA,02128,01,752 Bennington St,,East Boston,MA,02128,170549,42.385875586431254,-71.01090123745261,"(42.385875586431254, -71.01090123745261)"
16062,V81672,1013,2010-09-17 15:06:38,Closed,5110.1,N/A,Failure to secure permit,16,,Trident,ST,East Boston,MA,02128,01,752 Bennington St,,East Boston,MA,02128,170549,42.385875586431254,-71.01090123745261,"(42.385875586431254, -71.01090123745261)"
16063,V81671,1013,2010-09-17 14:52:09,Closed,106.5,N/A,Certificate of Inspection,111,,Orient,AV,East Boston,MA,02128,01,111 Orient Ave,,East Boston,MA,02128,105567,42.390549999972414,-71.00509000141311,"(42.390549999972414, -71.00509000141311)"
16064,V81669,1013,2010-09-17 14:34:04,Closed,110.1,N/A,Inspections,261,,Border,ST,East Boston,MA,02128,01,486 E. THIRD ST,APT 7,SOUTH BOSTON,MA,02127,17008,42.376899999631355,-71.03971000128635,"(42.376899999631355, -71.03971000128635)"
16065,V81668,1013,2010-09-17 13:59:00,Closed,113.3,N/A,Failed to comply w PRMT terms,18,,Chelsea,ST,East Boston,MA,02128,01,18 CHELSEA ST,,EAST BOSTON,MA,02128,30367,42.3705700002106,-71.03829000083205,"(42.3705700002106, -71.03829000083205)"
16066,V81667,1013,2010-09-17 13:47:48,Closed,Chapter 103.1,N/A,Unsafe Maintenance,468,470,Meridian,ST,East Boston,MA,02128,01,470 Meridian St,,East Boston,MA,02128,94627,42.38287000003639,-71.03980000172986,"(42.38287000003639, -71.03980000172986)"
16067,V81666,1013,2010-09-17 12:48:48,Closed,110.1,N/A,Inspections,320,,Blue Hill,AV,Dorchester,MA,02121,14,320 B Blue Hill Ave,,Dorchester,MA,02121,16405,42.31352000012,-71.07925000191305,"(42.31352000012, -71.07925000191305)"
16068,V81665,1013,2010-09-17 12:40:04,Closed,5110.1,N/A,Failure to secure permit,60,,Crawford,ST,Dorchester,MA,02121,12,60 CRAWFORD ST,,DORCHESTER,MA,02121,44114,42.31241999920748,-71.08786000048525,"(42.31241999920748, -71.08786000048525)"
16069,V81664,1013,2010-09-17 12:14:31,Closed,113.3,N/A,Failed to comply w PRMT terms,53,53A,Chelsea,ST,East Boston,MA,02128,01,65-67 Chelsea St,,East Boston,MA,02128,163227,42.37108809871397,-71.0370376811935,"(42.37108809871397, -71.0370376811935)"
16070,V81663,1013,2010-09-17 11:53:08,Closed,5110.1,N/A,Failure to secure permit,1690,,Centre,ST,West Roxbury,MA,02132,20,1690 Centre St #1,,West Roxbury,MA,02132,27695,42.28734000034312,-71.14681000109148,"(42.28734000034312, -71.14681000109148)"
16071,V81662,1013,2010-09-17 11:36:56,Closed,Chapter 103.1,N/A,Unsafe Maintenance,386,,Riverway,,Boston,MA,02115,10,"Isaac Lorie, Trustee 35 Fay St, Ste 107A",,Boston,MA,02118,169211,42.33264912934018,-71.11191387412984,"(42.33264912934018, -71.11191387412984)"
16072,V81661,1013,2010-09-17 11:25:47,Closed,Chapter 103.1,N/A,Unsafe Maintenance,384, ,RIVERWAY, ,Mission Hill/,MA,02120,10,"Isaac Lorie, Trustee 35 Fay St, Ste 107A",,Boston,MA,02118,0,,,
16073,V81660,1013,2010-09-17 11:15:36,Closed,Chapter 103.1,N/A,Unsafe Maintenance,t382, ,RIVERWAY, ,Mission Hill/,MA,02120,10,"Isaac Lorie, Trustee 35 Fay St, Ste 107A",,Boston,MA,02118,0,,,
16074,V81659,1013,2010-09-17 10:35:39,Closed,Chapter 103.1,N/A,Unsafe Maintenance,380, ,RIVERWAY, ,Mission Hill/,MA,02120,10,"Isaac Lorie, Trustee 35 Fay St, Ste 107A",,Boston,MA,02118,0,,,
16075,V81658,1013,2010-09-17 10:22:49,Closed,Chapter 103.1,N/A,Unsafe Maintenance,378,386,Riverway,,Boston,MA,02115,10,"Isaac Lorie, Trustee 35 Fay St, Ste 107A",,Boston,MA,02118,117097,42.33268742200129,-71.11191682596356,"(42.33268742200129, -71.11191682596356)"
16076,V81657,1013,2010-09-17 09:59:03,Closed,110.1,N/A,Inspections,156,,Bremen,ST,East Boston,MA,02128,01,156 BREMEN ST,,EAST BOSTON,MA,02128-1933,19791,42.37234000012008,-71.03508000197061,"(42.37234000012008, -71.03508000197061)"
16077,V81656,1013,2010-09-17 09:35:27,Closed,110.1,N/A,Inspections,110,112,Tonawanda,ST,Dorchester,MA,02124,17,112 Tonawanda St,,Dorchester,MA,021224,136150,42.297757999719835,-71.06970300145278,"(42.297757999719835, -71.06970300145278)"
16078,V81653,1013,2010-09-17 08:39:17,Closed,121,N/A,Unsafe Structure,43,,Pleasant,ST,Charlestown,MA,02129,02,43-45 Pleasant St,,Charlestown,MA,02129,111082,42.37541000032943,-71.06199000035656,"(42.37541000032943, -71.06199000035656)"
